id,x,y,landmark
2001.001.1076-1,706,507,1
2001.001.1076-1,723,382,6
2001.001.1076-2,694,615,1
2001.001.1076-2,740,386,6
2001.001.1077-1,669,544,1
2001.001.1077-1,700,400,6
2001.001.1077-2b,679,561,1
2001.001.1077-2b,756,336,6
2001.001.1077-5,639,584,1
2001.001.1077-5,671,265,6
2001.001.1077-6,658,534,1
2001.001.1077-6,679,242,6
2001.001.1077-8,633,622,1
2001.001.1077-8,664,269,6
2001.001.1082-1,748,524,1
2001.001.1082-1,731,505,6
2001.001.1082-2b,681,628,1
2001.001.1082-2b,714,434,6
2001.001.1082-3,712,563,1
2001.001.1082-3,725,425,6
2001.001.2376-2,696,628,1
2001.001.2376-2,763,300,6
2001.002.1406-1b,650,528,1
2001.002.1406-1b,710,194,6
2001.002.1635-1,731,611,1
2001.002.1635-1,780,448,6
2001.002.1687-1,669,630,1
2001.002.1687-1,719,473,6
2001.002.2065-1,729,551,1
2001.002.2065-1,748,342,6
2001.002.2151-1,800,770,1
2001.002.2151-1,865,369,6
2001.002.2748-1b,698,576,1
2001.002.2748-1b,765,206,6
ASM-HRP-AZ_J-14-1007-14,650,643,1
ASM-HRP-AZ_J-14-1007-14,682,405,6
ASM-HRP-AZ_J-14-1098-26,785,541,1
ASM-HRP-AZ_J-14-1098-26,823,441,6
ASM-HRP-AZ_J-14-1098-28,751,557,1
ASM-HRP-AZ_J-14-1098-28,785,386,6
ASM-HRP-AZ_J-14-1099-17,674,528,1
ASM-HRP-AZ_J-14-1099-17,703,259,6
ASM-HRP-AZ_J-14-1171-13,722,614,1
ASM-HRP-AZ_J-14-1171-13,734,405,6
ASMHRP-AZ_J-14-13-I157,637,532,1
ASMHRP-AZ_J-14-13-I157,673,271,6
ASM-HRP-AZ_J-14-1448-14,676,524,1
ASM-HRP-AZ_J-14-1448-14,706,291,6
ASM-HRP-AZ_J-14-1605-47,701,510,1
ASM-HRP-AZ_J-14-1605-47,702,388,6
ASM-HRP-AZ_J-14-1710-74,706,600,1
ASM-HRP-AZ_J-14-1710-74,726,414,6
ASMHRP-AZ_J-14-3-0.19,769,634,1
ASMHRP-AZ_J-14-3-0.19,800,434,6
ASMHRP-AZ_J-14-3-0.61,652,534,1
ASMHRP-AZ_J-14-3-0.61,706,311,6
ASMHRP-AZ_J-14-3-1135.15,712,569,1
ASMHRP-AZ_J-14-3-1135.15,748,444,6
ASMHRP-AZ_J-14-3-180.13,796,559,1
ASMHRP-AZ_J-14-3-180.13,781,580,6
ASMHRP-AZ_J-14-3-2576.16,656,521,1
ASMHRP-AZ_J-14-3-2576.16,666,413,6
ASMHRP-AZ_J-14-3-2785.13,677,501,1
ASMHRP-AZ_J-14-3-2785.13,700,407,6
ASMHRP-AZ_J-14-3-280.13,683,655,1
ASMHRP-AZ_J-14-3-280.13,729,292,6
ASMHRP-AZ_J-14-3-3021.39,719,515,1
ASMHRP-AZ_J-14-3-3021.39,708,340,6
ASMHRP-AZ_J-14-3-640.14,687,511,1
ASMHRP-AZ_J-14-3-640.14,727,290,6
ASMHRP-AZ_J-14-3-722.14,721,482,1
ASMHRP-AZ_J-14-3-722.14,731,532,6
ASMHRP-AZ_J-14-3-85.38,721,565,1
ASMHRP-AZ_J-14-3-85.38,750,423,6
ASMHRP-AZ_J-14-3-865.17,879,657,1
ASMHRP-AZ_J-14-3-865.17,877,617,6
ASMHRP-AZ_J-14-3-87.13,666,517,1
ASMHRP-AZ_J-14-3-87.13,712,392,6
ASMHRP-AZ_J-14-3-98.27,796,966,1
