id,x,y,landmark
2001.001.1076-1,706,507,1
2001.001.1076-1,742,235,2
2001.001.1076-1,721,20,3
2001.001.1076-1,606,10,4
2001.001.1076-1,506,22,5
2001.001.1076-1,723,382,6
2001.001.1076-1,654,290,7
2001.001.1076-1,721,221,8
2001.001.1076-2,694,615,1
2001.001.1076-2,750,356,2
2001.001.1076-2,760,56,3
2001.001.1076-2,637,33,4
2001.001.1076-2,512,22,5
2001.001.1076-2,740,386,6
2001.001.1076-2,702,306,7
2001.001.1076-2,769,235,8
2001.001.1077-1,669,544,1
2001.001.1077-1,731,256,2
2001.001.1077-1,746,20,3
2001.001.1077-1,589,98,4
2001.001.1077-1,472,131,5
2001.001.1077-1,700,400,6
2001.001.1077-1,635,290,7
2001.001.1077-1,731,181,8
2001.001.1077-2b,679,561,1
2001.001.1077-2b,750,309,2
2001.001.1077-2b,798,16,3
2001.001.1077-2b,637,108,4
2001.001.1077-2b,506,127,5
2001.001.1077-2b,756,336,6
2001.001.1077-2b,666,302,7
2001.001.1077-2b,746,231,8
2001.001.1077-5,639,584,1
2001.001.1077-5,673,344,2
2001.001.1077-5,681,6,3
2001.001.1077-5,581,22,4
2001.001.1077-5,504,35,5
2001.001.1077-5,671,265,6
2001.001.1077-5,581,256,7
2001.001.1077-5,698,183,8
2001.001.1077-6,658,534,1
2001.001.1077-6,689,306,2
2001.001.1077-6,696,39,3
2001.001.1077-6,598,39,4
2001.001.1077-6,499,37,5
2001.001.1077-6,679,242,6
2001.001.1077-6,612,215,7
2001.001.1077-6,683,187,8
2001.001.1077-8,633,622,1
2001.001.1077-8,669,350,2
2001.001.1077-8,608,16,3
2001.001.1077-8,552,12,4
2001.001.1077-8,493,6,5
2001.001.1077-8,664,269,6
2001.001.1077-8,606,183,7
2001.001.1077-8,679,139,8
2001.001.1082-1,748,524,1
2001.001.1082-1,800,242,2
2001.001.1082-1,739,18,3
2001.001.1082-1,603,8,4
2001.001.1082-1,464,12,5
2001.001.1082-1,731,505,6
2001.001.1082-1,721,407,7
2001.001.1082-1,790,273,8
2001.001.1082-2b,681,628,1
2001.001.1082-2b,731,325,2
2001.001.1082-2b,698,31,3
2001.001.1082-2b,591,14,4
2001.001.1082-2b,485,22,5
2001.001.1082-2b,714,434,6
2001.001.1082-2b,656,346,7
2001.001.1082-2b,712,237,8
2001.001.1082-3,712,563,1
2001.001.1082-3,756,298,2
2001.001.1082-3,769,10,3
2001.001.1082-3,600,70,4
2001.001.1082-3,472,133,5
2001.001.1082-3,725,425,6
2001.001.1082-3,621,350,7
2001.001.1082-3,754,273,8
2001.001.2376-2,696,628,1
2001.001.2376-2,760,353,2
2001.001.2376-2,760,87,3
2001.001.2376-2,616,39,4
2001.001.2376-2,502,104,5
2001.001.2376-2,763,300,6
2001.001.2376-2,679,263,7
2001.001.2376-2,731,185,8
2001.002.1406-1b,650,528,1
2001.002.1406-1b,698,315,2
2001.002.1406-1b,698,60,3
2001.002.1406-1b,602,16,4
2001.002.1406-1b,497,14,5
2001.002.1406-1b,710,194,6
2001.002.1406-1b,654,156,7
2001.002.1406-1b,735,93,8
2001.002.1635-1,731,611,1
2001.002.1635-1,815,348,2
2001.002.1635-1,823,83,3
2001.002.1635-1,639,43,4
2001.002.1635-1,493,8,5
2001.002.1635-1,780,448,6
2001.002.1635-1,727,317,7
2001.002.1635-1,836,240,8
2001.002.1687-1,669,630,1
2001.002.1687-1,763,344,2
2001.002.1687-1,829,60,3
2001.002.1687-1,636,112,4
2001.002.1687-1,506,223,5
2001.002.1687-1,719,473,6
2001.002.1687-1,694,402,7
2001.002.1687-1,765,354,8
2001.002.2065-1,729,551,1
2001.002.2065-1,769,348,2
2001.002.2065-1,790,31,3
2001.002.2065-1,641,29,4
2001.002.2065-1,510,6,5
2001.002.2065-1,748,342,6
2001.002.2065-1,673,277,7
2001.002.2065-1,802,210,8
2001.002.2151-1,800,770,1
2001.002.2151-1,886,450,2
2001.002.2151-1,785,89,3
2001.002.2151-1,644,16,4
2001.002.2151-1,431,14,5
2001.002.2151-1,865,369,6
2001.002.2151-1,669,321,7
2001.002.2151-1,781,173,8
2001.002.2748-1b,698,576,1
2001.002.2748-1b,760,325,2
2001.002.2748-1b,767,64,3
2001.002.2748-1b,648,39,4
2001.002.2748-1b,510,6,5
2001.002.2748-1b,765,206,6
2001.002.2748-1b,729,175,7
2001.002.2748-1b,769,112,8
ASM-HRP-AZ_J-14-1007-14,650,643,1
ASM-HRP-AZ_J-14-1007-14,704,331,2
ASM-HRP-AZ_J-14-1007-14,728,12,3
ASM-HRP-AZ_J-14-1007-14,611,32,4
ASM-HRP-AZ_J-14-1007-14,498,38,5
ASM-HRP-AZ_J-14-1007-14,682,405,6
ASM-HRP-AZ_J-14-1007-14,631,304,7
ASM-HRP-AZ_J-14-1007-14,697,240,8
ASM-HRP-AZ_J-14-1098-26,785,541,1
ASM-HRP-AZ_J-14-1098-26,865,288,2
ASM-HRP-AZ_J-14-1098-26,867,19,3
ASM-HRP-AZ_J-14-1098-26,730,28,4
ASM-HRP-AZ_J-14-1098-26,600,17,5
ASM-HRP-AZ_J-14-1098-26,823,441,6
ASM-HRP-AZ_J-14-1098-26,745,305,7
ASM-HRP-AZ_J-14-1098-26,861,254,8
ASM-HRP-AZ_J-14-1098-28,751,557,1
ASM-HRP-AZ_J-14-1098-28,802,303,2
ASM-HRP-AZ_J-14-1098-28,735,11,3
ASM-HRP-AZ_J-14-1098-28,615,2,4
ASM-HRP-AZ_J-14-1098-28,499,21,5
ASM-HRP-AZ_J-14-1098-28,785,386,6
ASM-HRP-AZ_J-14-1098-28,736,305,7
ASM-HRP-AZ_J-14-1098-28,801,239,8
ASM-HRP-AZ_J-14-1099-17,674,528,1
ASM-HRP-AZ_J-14-1099-17,706,283,2
ASM-HRP-AZ_J-14-1099-17,687,39,3
ASM-HRP-AZ_J-14-1099-17,589,5,4
ASM-HRP-AZ_J-14-1099-17,494,20,5
ASM-HRP-AZ_J-14-1099-17,703,259,6
ASM-HRP-AZ_J-14-1099-17,644,194,7
ASM-HRP-AZ_J-14-1099-17,703,112,8
ASM-HRP-AZ_J-14-1171-13,722,614,1
ASM-HRP-AZ_J-14-1171-13,751,348,2
ASM-HRP-AZ_J-14-1171-13,765,23,3
ASM-HRP-AZ_J-14-1171-13,632,18,4
ASM-HRP-AZ_J-14-1171-13,499,41,5
ASM-HRP-AZ_J-14-1171-13,734,405,6
ASM-HRP-AZ_J-14-1171-13,664,349,7
ASM-HRP-AZ_J-14-1171-13,755,223,8
ASM-HRP-AZ_J-14-1448-14,676,524,1
ASM-HRP-AZ_J-14-1448-14,705,271,2
ASM-HRP-AZ_J-14-1448-14,695,24,3
ASM-HRP-AZ_J-14-1448-14,597,3,4
ASM-HRP-AZ_J-14-1448-14,497,6,5
ASM-HRP-AZ_J-14-1448-14,706,291,6
ASM-HRP-AZ_J-14-1448-14,653,213,7
ASM-HRP-AZ_J-14-1448-14,693,142,8
ASM-HRP-AZ_J-14-1605-47,701,510,1
ASM-HRP-AZ_J-14-1605-47,743,258,2
ASM-HRP-AZ_J-14-1605-47,706,7,3
ASM-HRP-AZ_J-14-1605-47,601,44,4
ASM-HRP-AZ_J-14-1605-47,497,51,5
ASM-HRP-AZ_J-14-1605-47,702,388,6
ASM-HRP-AZ_J-14-1605-47,641,327,7
ASM-HRP-AZ_J-14-1605-47,742,277,8
ASM-HRP-AZ_J-14-1710-74,706,600,1
ASM-HRP-AZ_J-14-1710-74,737,359,2
ASM-HRP-AZ_J-14-1710-74,777,53,3
ASM-HRP-AZ_J-14-1710-74,595,30,4
ASM-HRP-AZ_J-14-1710-74,415,41,5
ASM-HRP-AZ_J-14-1710-74,726,414,6
ASM-HRP-AZ_J-14-1710-74,620,303,7
ASM-HRP-AZ_J-14-1710-74,785,169,8
ASMHRP-AZ_J-14-13-I157,637,532,1
ASMHRP-AZ_J-14-13-I157,683,288,2
ASMHRP-AZ_J-14-13-I157,706,48,3
ASMHRP-AZ_J-14-13-I157,606,16,4
ASMHRP-AZ_J-14-13-I157,502,29,5
ASMHRP-AZ_J-14-13-I157,673,271,6
ASMHRP-AZ_J-14-13-I157,631,244,7
ASMHRP-AZ_J-14-13-I157,694,194,8
ASMHRP-AZ_J-14-3-0.19,769,634,1
ASMHRP-AZ_J-14-3-0.19,798,407,2
ASMHRP-AZ_J-14-3-0.19,796,169,3
ASMHRP-AZ_J-14-3-0.19,687,50,4
ASMHRP-AZ_J-14-3-0.19,551,10,5
ASMHRP-AZ_J-14-3-0.19,800,434,6
ASMHRP-AZ_J-14-3-0.19,712,327,7
ASMHRP-AZ_J-14-3-0.19,784,266,8
ASMHRP-AZ_J-14-3-0.61,652,534,1
ASMHRP-AZ_J-14-3-0.61,714,298,2
ASMHRP-AZ_J-14-3-0.61,733,52,3
ASMHRP-AZ_J-14-3-0.61,608,14,4
ASMHRP-AZ_J-14-3-0.61,506,41,5
ASMHRP-AZ_J-14-3-0.61,706,311,6
ASMHRP-AZ_J-14-3-0.61,639,260,7
ASMHRP-AZ_J-14-3-0.61,704,219,8
ASMHRP-AZ_J-14-3-1135.15,712,569,1
ASMHRP-AZ_J-14-3-1135.15,784,335,2
ASMHRP-AZ_J-14-3-1135.15,838,106,3
ASMHRP-AZ_J-14-3-1135.15,658,100,4
ASMHRP-AZ_J-14-3-1135.15,506,73,5
ASMHRP-AZ_J-14-3-1135.15,748,444,6
ASMHRP-AZ_J-14-3-1135.15,694,367,7
ASMHRP-AZ_J-14-3-1135.15,773,321,8
